"ID","name","fa_loans_debt_avg_d"
"1400","Heidelberg University",36962
"1402","John Carroll University",30837
"1403","Kenyon College",20323
"1405","Lake Erie College",34114
"1407","Malone University",30679
"1408","Marietta College",39708
"1409","Mercy College of Ohio",28842
"1410","Mount Carmel College of Nursing",35952
"1411","University of Mount Union",34586
"1414","Muskingum University",33488
"1417","Oberlin College",25018
"1420","Ohio Wesleyan University",28516
"1421","Otterbein University",37388
"1424","University of Rio Grande",28617
"1425","Franciscan University of Steubenville",32443
"1427","Tiffin University",32679
"1431","Ursuline College",29542
"1435","Wittenberg University",30748
"1436","The College of Wooster",24506
"1437","Xavier University",34365
"1439","Cameron University",20512
"1440","University of Central Oklahoma",24530
"1441","East Central University",21806
"1443","Northeastern State University",24431
"1444","Northwestern Oklahoma State University",16932
"1447","Oklahoma State University-Main Campus",22591
"1449","University of Oklahoma-Norman Campus",23151
"1451","Rogers State University",13403
"1452","University of Science and Arts of Oklahoma",20074
"1453","Southeastern Oklahoma State University",19368
"1454","Southwestern Oklahoma State University",16262
"1456","Oklahoma Wesleyan University",28072
"1458","Hillsdale Free Will Baptist College",23500
"1459","Oklahoma Christian University",27065
"1460","Oklahoma Baptist University",26557
"1461","Oklahoma City University",27819
"1462","Oral Roberts University",32750
"1465","University of Tulsa",29161
"1470","Oregon Institute of Technology",29685
"1471","Oregon State University",21955
"1472","University of Oregon",24508
"1473","Portland State University",28410
"1474","Southern Oregon University",30936
"1475","Western Oregon University",28331
"1478","George Fox University",25143
"1479","Lewis & Clark College",27421
"1480","Linfield College-McMinnville Campus",28697
"1481","Marylhurst University",34399
"1484","Northwest Christian University",29485
"1487","Pacific University",25844
"1488","University of Portland",26557
"1489","Reed College",19151
"1490","Warner Pacific College",31338
"1491","Corban University",26407
"1492","Willamette University",26936
"1497","Bloomsburg University of Pennsylvania",29661
"1498","California University of Pennsylvania",29105
"1500","Clarion University of Pennsylvania",21507
"1501","East Stroudsburg University of Pennsylvania",27730
"1503","Indiana University of Pennsylvania-Main Campus",33807
"1504","Kutztown University of Pennsylvania",33376
"1505","Lincoln University of Pennsylvania",12082
"1506","Lock Haven University",29353
"1507","Mansfield University of Pennsylvania",33799
"1508","Millersville University of Pennsylvania",29791
"1509","Pennsylvania State University-Penn State Erie-Behrend College",36935
"1510","Pennsylvania State University-Penn State New Kensington",36935
"1512","Pennsylvania State University-Penn State Wilkes-Barre",36935
"1513","Pennsylvania State University-Penn State Worthington Scranton",36935
"1514","Pennsylvania State University-Penn State Lehigh Valley",36935
"1515","Pennsylvania State University-Penn State Altoona",36935
"1516","Pennsylvania State University-Penn State Beaver",36935
"1517","Pennsylvania State University-Penn State Berks",36935
"1518","Pennsylvania State University-Penn State Harrisburg",36935
"1519","Pennsylvania State University-Penn State Brandywine",36935
"1522","Pennsylvania State University-Penn State Hazleton",36935
"1523","Pennsylvania State University-Main Campus",36935
"1524","Pennsylvania State University-Penn State Greater Allegheny",36935
"1526","Pennsylvania State University-Penn State Abington",36935
"1527","Pennsylvania State University-Penn State Schuylkill",36935
"1528","Pennsylvania State University-Penn State York",36935
"1529","University of Pittsburgh-Bradford",37157
"1530","University of Pittsburgh-Greensburg",34451
"1531","University of Pittsburgh-Johnstown",34162
"1532","University of Pittsburgh-Pittsburgh Campus",36466
"1533","Shippensburg University of Pennsylvania",29988
"1534","Slippery Rock University of Pennsylvania",30458
"1535","Temple University",35760
"1536","West Chester University of Pennsylvania",30881
"1540","Albright College",28541
"1542","DeSales University",36798
"1543","Alvernia University",39560
"1546","Bryn Mawr College",24466
"1547","Bucknell University",22500
"1548","Cabrini College",35880
"1550","Carnegie Mellon University",31905
"1551","Cedar Crest College",41939
"1552","Chatham University",32814
"1553","Chestnut Hill College",35376
"1555","Delaware Valley College",39671
"1556","Dickinson College",25392
"1558","Duquesne University",34522
"1559","Eastern University",34662
"1560","Elizabethtown College",30355
"1561","Franklin and Marshall College",27474
"1563","Geneva College",32673
"1564","Gettysburg College",27714
"1566","Grove City College",31634
"1567","Gwynedd Mercy University",37860
"1568","Haverford College",15540
"1569","Holy Family University",40363
"1571","Juniata College",33421
"1573","King's College",29432
"1574","La Roche College",26713
"1575","La Salle University",35327
"1576","Lafayette College",27497
"1577","Lancaster Bible College",20959
"1578","Lebanon Valley College",36752
"1579","Lehigh University",31877
"1581","Marywood University",41559
"1582","Mercyhurst University",24739
"1583","Messiah College",34301
"1584","Misericordia University",35140
"1588","Muhlenberg College",29702
"1593","University of Pennsylvania",19442
"1594","Philadelphia University",40101
"1596","Cairn University-Langhorne",33016
"1598","Point Park University",28753
"1599","Robert Morris University",37531
"1600","Rosemont College",40792
"1601","Saint Francis University",36656
"1603","Saint Vincent College",29464
"1604","University of Scranton",38640
"1605","Seton Hill University",36295
"1607","Susquehanna University",29734
"1608","Swarthmore College",21866
"1610","Thiel College",37932
"1611","Thomas Jefferson University",55363
"1612","Ursinus College",35360
"1613","Valley Forge Christian College",31570
"1614","Villanova University",35122
